placeName;getty;gnd;long;lat;comment
Küstrin;7007723;;14.6667;52.5833;
L'Aquila;;4099061-8;+013.399444;+042.350555;
La Haye en Touraine;;1192311302;+000.700000;+046.966666;
La Rochelle;7009264;;-1.1667;46.1667;
Labin;;4400628-7;+014.119719;+045.094999;
Ladenburg;4006030;;8.6;49.4667;
Laer;;4444067-4;+007.357750;+052.055549;
Laibach;7012986;;14.5;46.0667;
Landsberg am Lech;7012559;4034337-6;+010.882777;+048.048055;
Landshut;7004414;4034367-4;12.1667;48.5167;
Langenargen;;4034500-2;+009.541629;+047.598579;
Langensalza;1036393;;10.65;51.1;
Langwedel;;4439356-8;+009.185420;+052.978639;
Laon;;4111215-5;+003.616670;+049.566670;
Lauban;;4099081-3;+015.287679;+051.120139;
Lauenburg an der Elbe;7013016;;10.55;53.3833;
Laufenburg;7014138;;8.0667;47.5833;
Lauingen;7012568;4034738-2;10.4333;48566;
Lausanne;;4034750-3;+006.632777;+046.515833;
Le Grand-Quevilly;1033867;;1.05;49.4333;
Lechhausen;7138290;;10.9333;48.3833;
Leeuwarden;7007006;4074085-7;5.8;53.2;
Leeuwarden;7007006;;5.8;53.2;
Legnica;7007726;;16.1667;51.2;
Leiden;7006809;4074118-7;4.5;52.1667;
Leipzig;7012329;4035206-7;12.4167;51.3333;
Leisnig;;4111252-0;+012.927899;+051.157440;
Leitomischl;1027342;;16.3;49.9;
Lemgo;7012571;4035306-0;8.9;52.0333;
Lennep;;4074150-3;+007.259999;+051.192489;
Lenzen (Elbe);;4382592-8;+011.474529;+053.091760;
Leszno;1049207;;16.5833;51.85;
Leubsdorf (Landkreis Mittelsachsen);;4605273-2;+013.166669;+050.799999;
Leucate;;4571154-9;+003.029440;+042.910559;
Leutenberg;1037197;;11.45;50.55;
Leutkirch im Allgäu;;4035503-2;+010.020277;+047.826666;
Leutschau;7011691;;20.5833;49.0167;
Lich;1040112;;8.8333;50.5167;
Liebengrün;7138157;;;;
Liegnitz;;4035683-8;+016.161899;+051.210059;
Lille;;4114418-1;+003.058580;+050.632970;
Lindau;;4074242-8;+009.684166;+047.546111;
Linz;;4074255-6;+014.286110;+048.306390;
Lippstadt;7012582;4035900-1;8.3167;51.6667;
Lissabon;7010978;4035919-0;-9.1333;38.7333;
Liverpool;7010597;;-3;53.4167;
Liège;7007945;;5.5833;50.6333;
Ljubljana;7012986;4073953-3;14.5;46.0667;
Lobenstein;1037217;;11.65;50.45;
Lodi;7006011;;9.5;45.3167;
London;7011781;4074335-4;-.1667;51.5;
Londonderry;7012110;;-7.3167;55;
Loosduinen;;4497327-5;+004.234689;+052.050730;
Lowicz;7007581;;19.9333;52.1167;
Lubań;1049215;;15.2833;51.1167;
Lublin;7007732;;22.5167;51.3;
Lucca;;4074354-8;+010.505850;+043.843569;
Ludwigsburg;7012585;;9.1833;48.9;
Lund;7009837;;13.1667;55.7;
Luxemburg;7006254;;6.1333;49.6167;
Luzern;7007280;;8.2833;47.05;
Lyon;7008772;4036770-8;4.8333;45.7667;
Löcknitz;1037135;;14.2167;53.4667;
Löwen;7007949;4074300-7;4.7;50.8833;
Löwenburg JU;8705364;;7.2906;47.4076;
Lübeck;7012327;4036483-5;10.6667;53.8667;
Lüneburg;7004436;4036512-8;10.4;53.25;
Lünen;;4036521-9;+007.528719;+051.616340;
Lüttich;;4074361-5;+005.567490;+050.633729;
Maastricht;7006862;;5.7;50.85;
Macerata;7004018;;13.45;43.3;
Madrid;;4036862-2;-003.702560;+040.416499;
Madrid;7010413;;-3.7167;40.4167;
Magdeburg;7004456;4036934-1;11.6167;52.1333;
Mailand;;4037100-1;+009.189510;+045.464269;
Mainz;7004449;4037124-4;8.2667;50;
Malbork;7007740;;19.05;54.0333;
Malmö;;4114951-8;+013.300000;+055.605870;
Mannheim;7005179;;8.4667;49.5;
Mansfeld;;4037392-7;+011.452222;+051.592222;
Mantua;;4114978-6;+010.797840;+045.160310;
Marburg;7012330;4037446-4;8.7667;50.8167;
Mariastein, Solothurn;8703802;; 7.5167;47.4667;
Marienwerder;7007660;;18.6833;54.3667;
Markgrafschaft Baden-Durlach;2087942;;-76.2167;40.2167;
